store_number,store_name,address,city,zip_code,county_number
4259,Fareway Stores #009 / Burlington,920 LAWRENCE DR,BURLINGTON,52601,29
4260,Kum & Go #175 Liquors / Oskaloosa,901 S MARKET,OSKALOOSA,52577,62
4262,Fareway Stores #699 / Osceola,215 S MAIN ST,OSCEOLA,50213,20
4265,Cork and Bottle / Carroll,1004 HIGHWAY 30 W,CARROLL,51401,14
4266,Kwik Stop 3 / Waterloo,1104 WASHINGTON ST,WATERLOO,50702,7
4267,Wal-Mart 1683 / Shenandoah,705 S FREMONT,SHENANDOAH,51601,73
4268,Main Street Market Of Anita,735 MAIN ST,ANITA,50020,15
4269,Fareway Stores #531 / Algona,1905 HIGHWAY 18 E,ALGONA,50511,55
4270,Tipton Family Foods,610 CEDAR ST,TIPTON,52772,16
4271,Kum & Go Liquors #37 / Ottumwa,2508 N COURT ST,OTTUMWA,52501,90
4272,Fareway Stores #827 / Centerville,305 S 18TH ST,CENTERVILLE,52544,4
4273,Fareway Stores #407 / Esterville,1108 CENTRAL AVE,ESTHERVILLE,51334,32
4274,Smokin' Joe's #4 Tobacco and Liquor,2800 E UNIVERSITY AVE,DES MOINES,50317,77
4275,Ruthven Meat Processing,1701 RAILROAD ST,RUTHVEN,51358,74
4276,Fareway Stores #980 / Knoxville,1308 S LINCOLN ST,KNOXVILLE,50138,63
4277,Wj's Liquor,107 N MILL ST,LAKE MILLS,50450,95
4279,Cork It!,769 PROSPECT ST SW,LE MARS,51031,75
4280,Keota Eagle Foods,217 E BROADWAY,KEOTA,52248,54
4282,Slagle's Grocery / Le Claire,1301 EAGLE RIDGE RD,LE CLAIRE,52753,82
4283,Point Liquor and Tobacco /,4107 CENTER POINT RD,CEDAR RAPIDS,52402,57
4284,Guppys On The Go,680 LINDALE DR,MARION,52302,57
4285,Fareway Stores #559 / Iowa Falls,500 IOWA ST,IOWA FALLS,50126,42
4288,Fareway Stores #922 / New Hampton,102 S WATER AVE,NEW HAMPTON,50659,19
4289,Uptown Liquor and Tobacco,2000 WILEY BLVD SW STE 106,CEDAR RAPIDS,52404,57
4291,Fareway Stores #062 / Waukon,777  11TH AVE SW,WAUKON,52172,3
4293,Fareway Stores #597 / Creston,105 E ADAMS ST,CRESTON,50801,88
4294,Eddyville Market and Deli L,121 WALNUT,EDDYVILLE,52553,90
4295,Lena's Liquors,1544 SUPERIOR ST,WEBSTER CITY,50595,40
4296,Nat Food Mart #1 / Hubbell,3804 HUBBELL,DES MOINES,50317,77
4297,Circle B Market,111 MAIN ST,KEOSAUQUA,52565,89
4298,Discount Liquor / Cedar Rapids,2933  1ST AVE SE,CEDAR RAPIDS,52402,57
4299,Terry's Food Center,305 CRISMAN ST,DYSART,52224,86
4300,Hometown Market / Central City,9 WATERHOUSE AVE,CENTRAL CITY,52214,57
4301,Fareway Stores #625 / Oskaloosa,311  3RD AVE W,OSKALOOSA,52577,62
4302,Sahota Food Mart,1805 SE 14TH ST,DES MOINES,50320,77
4303,Shop N Save / Des Moines,1829 6TH AVE,DES MOINES,50314,77
4304,Mepo Foods,111 N WAPELLO,MEDIAPOLIS,52637,29
4306,Downtown Pantry / Des Moines,208  4TH ST,DES MOINES,50309,77
4307,Northside One Stop / Hampton,1208  4TH ST NE,HAMPTON,50441,35
4308,Crossroads Wine and Liquor,117 IOWA AVE,DUNLAP,7122,43
4309,Keystone Liquor and Wine / Coralvill,517  2ND ST STE 2,CORALVILLE,52241,52
4310,The Party Pantry,430 S 35TH ST,COUNCIL BLUFFS,51501,78
4311,Fareway Stores #502 / Cherokee,205 WEST BLUFF ST,CHEROKEE,51012,18
4312,Fareway Stores #508 / Fort Dodge,1231  1ST AVE S,FORT DODGE,50501,94
4313,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,78
4314,Fareway Stores #940 / Atlantic,301 POPLAR ST,ATLANTIC,50022,15
4315,Nodaway Valley Market,304  4TH ST,FONTANELLE,50846,1
4317,Fareway Stores #554 / Washington,301 NORTH MARION AVE,WASHINGTON,52353,92
4318,Fareway Stores #941 / Greenfield,212 SW KENT,GREENFIELD,50849,1
4319,Fareway Stores #841 / Red Oak,811 BROADWAY,RED OAK,51566,69
4320,Fareway Stores #703 / Humbolt,710 FIRST AVE N,HUMBOLDT,50548,46
4321,Fareway Stores #470 / Perry,1315 WILLIS AVE,PERRY,50220,8
4322,Fareway Stores #501 / Charles City,210  11TH ST,CHARLES CITY,50616,34
4323,Hometown Foods / Baxter,103 N MAIN ST,BAXTER,50028,50
4324,Liquor And Tobacco Outlet,902  1ST AVE N,FORT DODGE,50501,94
4325,Dayton Community Grocery,22 NORTH MAIN,DAYTON,50530,94
4326,Villisca Foods Inc.,509 S 3RD AVE,VILLISCA,50864,69
4327,Stratford Food Center,829 SHAKESPEARE AVE,STRATFORD,50249,40
4328,Quick Mart / Hiawatha,655 ROBBINS RD,HIAWATHA,52233,57
4329,Jr's On The Rocks,313 COLLEGE DR,DECORAH,52101,96
4330,Super Stop Ii / Altoona,2635 ADVENTURELAND DR,ALTOONA,50009,77
4331,Ryan's Quick Shop,702 1ST AVE E,NEWTON,50208,50
4332,Moore's Foods,303 HIGHWAY 150 N,WEST UNION,52175,33
4333,Fast Mart / University Ave,1621 UNIVERSITY AVE,DES MOINES,50314,77
4334,Liquorama,1117 EAST 4TH,WATERLOO,50703,7
4335,Fareway Stores #114 / Dubuque,2050 JOHN F KENNEDY RD,DUBUQUE,52001,31
4336,The Bottle Shop / Inwood,313 S MAIN ST,INWOOD,51240,60
4337,Last Call 2,120 N MAIN ST,GEORGE,51237,60
4338,Grand Falls Casino Resort,1415 GRAND FALLS BLVD,LARCHWOOD,51241,60
4340,Randhawa's Travel Center,1659D MARSHALLTOWN BLVD,MELBOURNE,50162,64
4341,Dahl's Foods / Ames,3121 GRAND AVE,AMES,50010,85
4343,Mj's Grocery,524 MAIN ST,GRISWOLD,51535,15
4344,Best Food Mart / Des Moines,4028 NE 14TH ST,DES MOINES,50313,77
4345,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,77
4346,Lucky Mart,1031 WEST ST,GRINNELL,50112,79
4347,Roy's Foodland,105 PEARL ST,SHELLSBURG,52332,6
4348,Jeff's Market / Blue Grass,102 W MAYNE,BLUE GRASS,52726,82
4349,Jeff's Market / Wilton,101 E 4TH,WILTON,52778,70
4350,Southside Food Mart,1101 ARMY POST RD,DES MOINES,50315,77
4351,Kum & Go #703 / Marshalltown,916 E MAIN ST,MARSHALLTOWN,50158,64
4352,Kum & Go #301 / Clear Lake,2325 7th Ave North N,CLEAR LAKE,50248,17
4353,Kum & Go #501 / Creston,301 W TAYLOR ST,CRESTON,50801,88
4354,Kum & Go #302 / Clear Lake,2905 FOURTH AVE,CLEAR LAKE,50248,17
4355,Kum & Go #4205 / Shenandoah,1303 W SHERIDAN AVE,SHENANDOAH,51601,73
4356,Kum & Go #124 / Story City,1554 BROAD ST,STORY CITY,50248,85
4357,Kum & Go #396 / Nevada,136 LINCOLN HWY,NEVADA,50201,85
4358,Kum & Go #125 / Story City,527 PARK AVE,STORY CITY,50248,85
4359,Kum & Go #553 / Clarion,300 CENTRAL AVE W,CLARION,50525,99
4360,Kum & Go #75 / Waukee,350 SE UNIVERSITY AVE,WAUKEE,50263,25
4361,Kum & Go #333 / Newton,405 1ST AVE E,NEWTON,50208,50
4362,Quik Trip #538 / NW 2nd / DSM,4575 NW 2ND,DES MOINES,50313,77
4363,Kum & Go #135 / Polk City,303 W BROADWAY ST,POLK CITY,50226,77
4364,Kum & Go #33 / Osceola,400 S MAIN ST,OSCEOLA,50213,20
4365,Kum & Go #22 / Grinnell,715 LANG CREEK AVE,GRINNELL,50112,79
4366,Kum & Go #222 / West St Grinnell,1002 WEST ST,GRINNELL,50112,79
4367,Kum & Go #137 / Tiffin,101 VILLAGE DR,TIFFIN,52340,52
4368,Kum & Go #109 / Mason City,1224 N FEDERAL AVE,MASON CITY,50401,17
4369,Kum & Go #570 / Johnston,5800 NORTHGLEN DR,JOHNSTON,50131,77
4370,Kum & Go #28 / Norwalk,2992 SUNSET DR,NORWALK,50211,91
4371,Kum & Go #240 / North Ave Norwalk,530 NORTH AVE,NORWALK,50211,91
4372,Kum & Go #50 / West Des Moines,745 S 51ST ST,WEST DES MOINES,50265,77
4373,Kum & Go #404 / Mason City,1303 4TH ST SW,MASON CITY,50401,17
4374,Kum & Go #74 / West Des Moines,141 S JORDAN CREEK PKWY,WEST DES MOINES,50266,77
4375,Kum & Go #141 / Grimes,1950 PRINCETON DR,GRIMES,50111,77
4376,Kum & Go #237 / Grimes,801 N 1ST ST,GRIMES,50111,77
4377,Kum & Go #6 / Mason City,1920 S FEDERAL AVE,MASON CITY,50401,17
4378,Quik Trip #562 / NE 14th / DSM,4801 NE 14TH ST,DES MOINES,50313,77
4379,Kum & Go #202 / 4th St Waukee,85  4TH ST,WAUKEE,50263,25
